"filename", "language", "C++", "CMake", "YAML", "Markdown", "Dart", "Swift", "HTML", "JSON", "XML", "JavaScript", "Properties", "comment", "blank", "total"
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\reminder\custom_toggle_btn.dart", "Dart", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 5, 47
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\report\charts\category_pie_chart.dart", "Dart", 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 11, 174
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\report\charts\cost_pie_chart.dart", "Dart", 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 9, 233
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\report\charts\distance_per_refueling_line_chart.dart", "Dart", 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 11, 204
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\report\charts\expense_vs_income_bar_chart.dart", "Dart", 0, 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 7, 12, 217
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\report\charts\fuel_efficiency_line_chart.dart", "Dart", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 5, 98
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\report\charts\fuel_price_line_chart.dart", "Dart", 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 9, 196
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\report\charts\monthly_cost_bar_chart.dart", "Dart", 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 11, 175
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\report\charts\odometer_history_line_chart.dart", "Dart", 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 11, 204
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\report\custom_report_card.dart", "Dart", 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 4, 147
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\report\distance_report_card.dart", "Dart", 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 4, 109
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\report\report_date_range.dart", "Dart", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 3, 63
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\report\report_tab_bar.dart", "Dart", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 4, 51
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\text-input-field\card_text_input_field.dart", "Dart", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 4, 77
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\text-input-field\form_label_text.dart", "Dart", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\text-input-field\password_input_field.dart", "Dart", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 4, 76
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\text-input-field\search_text_input_field.dart", "Dart", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 4, 63
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\text-input-field\text_input_field.dart", "Dart", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 4, 88
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\text-input-field\text_input_field_with_controller.dart", "Dart", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 4, 97
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\main.dart", "Dart", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 9, 49
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\app_user.dart", "Dart", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 15, 100
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\date_range_model.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\expense\expense_model.dart", "Dart", 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 5, 82
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\expense\expense_type_model.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 3, 6, 42
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\general_model.dart", "Dart", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\income\income_model.dart", "Dart", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 5, 65
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\last_record_model.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\onboarding_model.dart", "Dart", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
